stock_id,ArticleTitle,ArticleText,ArticleCreateTime
1101,[新聞] 台泥（1101）加碼收購歐洲NHOA,"標題：台泥 加碼收購歐洲NHOA

來源：

(工商時報)

網址：

(
https://www.chinatimes.com/newspapers/20240822000393-260206)

內文：

台泥（1101）21日宣布，將加碼促成歐洲子公司NHOA私有化自法國下市。台泥指出，間接子公司台泥歐洲控股B.V.原擬對歐洲子公司NHOA S.A.提出收購在外流通的股份，為未來NHOA S.A.從Euronext Paris巴黎泛歐交易所下市預作準備。台泥決議將NHOA每股收購價由1.1歐元調高至上限的1.25歐元。據估計，台泥將因此增加460萬歐元（約合新台幣1.63億元）的收購費用。

台泥強調，NHOA S.A.私有化後，光每年省下的上市及監管行政成本和費用就超過500萬歐元，將有助提升NHOA營運效能。

台泥認為，NHOA作為上市公司，做決策時必須考慮資本市場的期望、上市監管成本及股價波動的敏感性，使得公司長期發展策略容易受箝制。NHOA私有化後，除簡化組織架構、減少上市及監管所需的行政成本和費用外，台泥更可直接為NHOA提供財務上的支持，極大化技術及市場資源整合，創造更大的綜效，並提升運營的彈性，以支持NHOA與台泥企業團的深度策略合作，包括強化NHOA與台泥另一子公司葡萄牙Cimpor及台泥儲能在歐洲市場的合作。

台泥指出，在今年6月13日發布收購資訊後，台泥名下NHOA S.A.持股已達到92.21％，但NHOA因收購而成立的特別審查委員會對台泥提出的每股現金價1.1歐元表示不同意見，因此經過台泥8月20日臨時董事會決議，將每股現金收購價格由1.1歐元提高為1.25歐元。

-

呆泥又花錢了…手上的呆泥都讓我變成阿呆了。
呆～
-----
Sent from JPTT on my iPhone",2026-08-22
1101,[新聞] 1101 台泥 電動大貨卡投入IKEA綠色物流,"原文標題：台泥集團引進的全台首輛電動大貨卡 投入IKEA綠色物流

原文連結：
https://reurl.cc/qk9nr0

發布時間：2023/05/19 15:38

記者署名：記者楊雅民／台北報導

原文內容：

台泥（1101）企業團旗下台灣通運引進的全台首輛電動大貨卡，將為全球家具家飾品牌
IKEA（宜家家居）提供零碳綠色物流服務，台灣通運董事長辜公怡（左）、台灣通運總經
理吳曉玲（中）與台泥儲能副總黃義協（右）特別出席IKEA物流中心啟用儀式，見證國內
綠色物流的重要里程碑。 （台泥提供）

〔記者楊雅民／台北報導〕台泥（1101）企業團旗下台灣通運引進的全台首輛電動大貨卡
，將為全球家具家飾品牌IKEA（宜家家居）提供零碳綠色物流服務，將由IKEA物流中心出
發，每天為台北內湖、桃園和台中店3家店提供補貨服務。

IKEA目標要在2025年前將產品運送的碳排放降於零，2023年為IKEA電動貨車啟用元年，採
用了台灣通運26噸電動大貨卡，相對於傳統的10.5噸柴油車，將減少約18%的碳排放量、
相當於5.38噸CO2e。

台泥儲能在IKEA物流中心以及台中店皆設置了充電設施，亦根據IKEA綠色物流路線圖，為
其試算規劃最佳充電方案，讓電動大貨卡可於裝卸貨物同時完成充電，協助控制時間成本
，消除企業轉換電動車初期的里程焦慮。

台通第2輛26噸電動大貨卡車也完成掛牌，目前已有科技、生技品牌客戶洽談中。後續台
通規劃引進更多不同形式的商用電動運具，包括電動曳引車，並針對客戶需求提供客製化
規畫方案，減碳成果將全部歸屬企業客戶，可為客戶取得符合溫室氣體盤查範疇三之碳排
放減量。

台通董事長辜公怡指出，運輸部門高居全台第4碳排放主要來源，公路運輸碳排佔比更高
達95.6%，因此唯有運具電動化以及無碳化，運輸部門的淨零轉型才有可能完全實現。

辜公怡認為，許多人熱衷談ESG，卻不願意面對ESG是必須有決心投資，且付出成本的，但
甚麼都不做，我們居住的地球付出代價會更高，現在我們知道推動電動運具會讓碳排下降
，也相信唯有與價值觀一致的運營商與客戶攜手同心，減碳之路才有契機。

心得/評論：

有IKEA當靠山 台泥也可以利用自己的儲能設備深入居家用品零售企業

當然本業水泥還是很重要 最近是梅雨季 不利水泥業

最近沒跟著大盤漲很正常 不過散戶看到不會漲的公司大多會受不了

等著下週開始慢慢被偷偷878調整再介入也不遲~",2026-05-19
1101,[情報] 1101台泥Q2 -0.04,"https://mops.twse.com.tw/mops/web/t05sr01_1

https://i.imgur.com/67VfjtX.jpg

Q1   0.2
Q2  -0.04

塊陶啊啊啊啊啊",2026-08-10
1101,[新聞] 台泥是台股首批掛牌上市公司 代號1101 (,"原文標題：台泥是台股首批掛牌上市公司 代號1101 (圖)
                                      
(請勿刪減原文標題)

原文連結：
https://reurl.cc/AKMVk8

(網址超過一行過長請用縮網址工具)

發布時間：2022年2月5日 週六 下午9:38
                                      
(請以原文網頁/報紙之發布時間為準)

原文內容：台泥是全台灣最早掛牌上市的公司之一，股票代號「1101」，現因台股改採無實
體發行制度，想看實體的紙張股票，只能在股票博物館參觀了。（台灣集中保管結算所提供
）

中央社記者潘智義傳真 111年2月6日

心得/評論：                             ※必需填寫滿30字，無意義者板規處分

這新聞有點短 跟馬英九看手錶有的比

台泥身為全台首家上市的公司 1101
從以前純傳產 到近年開始轉型新能源
公司也開始推動一週四天辦公
台泥一直有在與時俱進
辜家真有料
不愧是世界第一 華頓商學院畢業的
巴菲特跟川普的校友

不過話說回來 應該還有鄉民家裡有長輩留下來的實體股票當傳家寶吧

https://i.imgur.com/99vtkdt.jpg",2026-02-11
1101,[新聞] 藥華醫藥美國團隊已收到第一張P1101訂單,"原文標題：
藥華醫藥美國子公司團隊已收到第一張P1101訂單
   
(請勿刪減原文標題)  

原文連結：

https://reurl.cc/aNgqND
 
(請善用縮網址工具

)

發布時間：
2021.11.17                                      
(請以原文網頁/報紙之發布時間為

準)

原文內容：
本公司旗下新藥Ropeginterferon alfa-2b（即P1101）甫於台灣時間11月13日獲美國FDA
核准所有真性紅血球增多症（PV）患者均可使用，美國子公司團隊旋即於今日收到來自專
科藥局（Specialty Pharmacy）的第一張訂單，希望盡快將P1101帶給美國PV患者。

P1101在美國藥價訂為每人每年約18萬美金。本公司預計於數週內鋪貨到各州，並依照規
畫展開P1101上市後在美國各地的行銷活動。

心得/評論：
有生技專家說這只是一線治療的選擇之一，還好而已。
雖然我是沒看到任何科學證據表示這個藥是還好而已，FDA唯一一線治療PV用藥。
後續還有ET MPN等擴大適應症
How to lose",2026-11-17
1101,[心得] 大盤/台指期當沖本週行情檢討1101~1105,"週五在台積電帶量往上攻之後，多方表態突破盤整區間
本週行情出現多次跳空開高，之後就是跌給你看，我們如何判斷這種行情呢？
小區間的震盪行情還是有一些細節跟大家分享，一起來回顧本週的行情吧！

YouTube好讀版

https://youtu.be/ccPdwgoDPQs

（一）本週多空判別

https://imgur.com/IB93Kzw

（二）本週盤面檢討
11月1日 星期一 [震盪盤]
‧美股收漲但台股籌碼偏弱
‧期貨開盤位置算是合理
‧現貨開盤後盤面上漲拉抬,但大權值普遍表現不好
‧盤中等待現貨量縮去偏空打
‧當天嘗試用選擇權操作,操作失誤被損在最高點
‧嘗試反彈放空有些收穫但賺不到太多
‧下半場量縮放棄交易

https://imgur.com/sQkopoa

11月2日 星期二 [誘多轉殺多盤]
‧美股持續上漲,夜盤並沒有太大的反應
‧期貨開盤直接開在夜盤高之上不合理
‧因此打一個先多反手空的操作,不過空方早盤並沒有成功
‧現貨開盤後看到出量、正價差、現貨出買盤,所以空方暫時不動。
‧回檔後空方確立,嘗試反彈切入
‧放棄切空單等待底下短多機會
‧主趨勢行情沒有跟到只能小雞啄米流

https://imgur.com/ks5FCYx

11月3日 星期三[震盪盤]
‧根據位階判斷只要期貨來到夜盤高之上就屬於超漲,同時籌碼也算是相當混亂,所以夜盤
高附近就是可以嘗試放空。
‧盤中狀況相當混亂,成交量放大但幾乎都打在航運身上,台積電完全沒有人交易
‧上方嘗試一筆空單有獲利後就不再出手。
‧全天震幅少於100點,尾盤週選結算亦沒有太多波動,結束一個枯燥的交易日。

https://imgur.com/HSdKvtt

11月4日 星期四 [緩跌盤]
‧FED利率決議美股表示認同大漲
‧台股前一天籌碼不支持開高走高
‧跳高開超過夜盤高屬於不合理
‧開盤先多後空的操作,空在當日絕對高點
‧現貨開盤直接出賣壓往下灌
‧國際盤止跌反彈
‧台積電轉弱,內盤單開始打,權值股出賣壓,盤面轉成量縮但非常弱勢的緩跌盤。

https://imgur.com/IWRwdmy

11月5日 星期五 [誘空轉尬空盤]
‧台積電ADR+3.32%,今日重頭戲
‧台積電現貨開盤開的不夠高但出賣壓
‧現貨開盤該拉不拉,直接順勢放空
‧早盤國際盤回檔台指撐住,國際盤一旦止穩台股有機會多方反打一波
‧底下嘗試進多單,卻被停損在當天低
‧誘空轉尬空成型,盤面噴出
‧台積電買盤大量進駐,下半場演變為強尬空盤,空方必須放棄

https://imgur.com/aPpKbJN

（三）盤面結構：
‧本週持續震盪,除了航運現貨幾乎都是開高就開始調節出貨
‧FED利率決議市場成正面看待
‧週五台積電帶量上漲大噴發,資金回流電子明顯

https://imgur.com/vTxYnHv

（四）下週規劃：
‧經過長達近3週的震盪,台積電於帶量表態上漲
‧資金回流電子明顯,大盤日K表態,下週開始會持續偏多思考
‧看看能否直接去挑戰17600,估計難度不高,下方守17100附近

https://imgur.com/lPIw0SX",2026-11-06
1101,Re: [標的] 1101 台泥,"※ 引述《Gazooli (窩4肥宅)》之銘言：

: ※ 引述《Gazooli (窩4肥宅)》之銘言：

: : 當初有跟到本魯單的恭喜

: : 從45漲到50

: : 目前本魯看台泥應該還有往上漲的趨勢

: : 月線，日線開起來都蠻漂亮的

: : 如果現在要先停利也沒關係

: : 停利：50，大膽一點，60

: : 長期投資：不停利不停損

: : -----

: : Sent from JPTT on my Asus ASUS_X01BDA.

: 大家安安

: 有跟到本魯第二個台泥單的恭喜

: 從50漲到57.9

: 現在台泥聲勢如日中天

: 不過本魯覺得賺7塊便當錢

: 建議就可以先下車了

: 本魯不貪，有賺就好，已下車車了

: 因為本魯現在不確定台泥會不會漲到60~

: -----

: Sent from JPTT on my Asus ASUS_X01BDA.

今日爆量黑k
最近又利多出盡
今天買在高點58的準備住十年套房了
就看明天能不能守住五日線，
否則台泥很有可能跌破45。
我準備做空台泥，第一階段先空到48，
再往下空到40",2026-04-22
1101,Re: [標的] 1101 台泥,"台泥配息其實跟前幾年比也還好 ，2019還配更多。

主要是我覺得看看這個興建超級電池廠的題材能否 讓台泥突破之前的低本益比區間 ，台
泥近三年本益比真的滿低的，只介於7-10倍左右，如果區間突破，到60都有可能啊。

這幾年eps都有4元以上，算2021的eps只有4元好了，60元本益比也才15倍，是有機會，不
是遙遠到不可能啊。

但我是覺得靠水泥要到60很難，靠超級電池廠或許有機會，只是如果跟國際大廠比，只投
資100億建廠好像金額太小了些。",2026-03-22
1101,[其他] 1101 台泥開獎,"https://i.imgur.com/SoAfEQr.jpg

 
心得：eps4.32  現金3.5 股票0  誠意十足？。            今年沒有配股票了 現金派應該
很愛
----
Sent from 
BePTT 
on my iPhone 12 Pro Max",2026-03-19
1101,Re: [標的]  1101 台泥 & 1102亞泥,"1.第一水泥業會有試驗報告的問題，必須測試其強度達到合格才會向客戶請款，也就是開
立發票，當然會從發票日開始計算應收帳款帳齡，故此點並不會影響收現日數。
2.第二水泥業通常有保留款問題，通常是5%，故會有5%的應收帳款留在帳上，但目前會將
其重分類至合約資產科目，故也不會影響收現日數。
3.會影響的是通常水泥業為配合營建業，故對方都是開票，有時侯票期會比較長，另圖片
中的應收款項應是指應收帳款、應收票據等會計科目，並不單是指應收帳款，若是單指應
收帳款在對方開票完轉應收票據時就不會有帳齡的問題了。

小弟為有會計師資格的某水泥業員工，若有錯誤請不吝指教。

※ 引述《AllBlack (All Black)》之銘言：

: 依據

: 前資誠會計師事務所所長寫的書提到

: 公司應收帳款維持在60天內較佳

: 不宜超過90天

: 觀察了一下板上的績優股 台泥

: 
https://i.imgur.com/PTS9PGb.jpg

: 應收帳款近幾年明顯偏高

: 甚至超過100天

: 這樣公司是否財務上會有問題呢？

: 例如可能的呆帳

: 我相信大家直覺一定覺得台泥沒問題

: 但基本財報資料確實值得注意

: 僅提供個人意見

: 期待有財報大神開示

: 感謝",2026-02-02
1102,[情報] 1102亞泥 112年股利2.1,"標題： 亞泥董事會決議112年第四季盈餘分派

來源：公開資訊觀測站

(公司名、網站名)

網址：
https://mops.twse.com.tw/mops/web/t146sb05

(請善用縮網址工具)

內文：
1. 董事會決議日期：113/03/05
2. 股利所屬年(季)度：112年 第4季
3. 股利所屬期間：112/10/01 至 112/12/31
4. 股東配發內容：
　(1)盈餘分配之現金股利(元/股)：2.10000000
　(2)法定盈餘公積發放之現金(元/股)：0
　(3)資本公積發放之現金(元/股)：0
　(4)股東配發之現金(股利)總金額(元)：7,447,782,050
　(5)盈餘轉增資配股(元/股)：0
　(6)法定盈餘公積轉增資配股(元/股)：0
　(7)資本公積轉增資配股(元/股)：0
　(8)股東配股總股數(股)：0
5. 其他應敘明事項：
1.如因除息基準日前依證交法第28條之2及
其他法令規定，而影響流通在外股數時，擬
由本次董事會授權董事長依本次盈餘分配案
決議之現金股利之金額，按除息基準日實際
流通在外股數，調整股東配息率。
2.擬由本次董事會授權董事長另訂定除息基準日分配之。
6. 普通股每股面額欄位：新台幣10.0000元

http://i.imgur.com/ogPUv2s.jpg

-----
Sent from JPTT on my Samsung SM-G9730.",2026-03-05
