"stock_code","stock_name","market","industry_code","industry_name","source_url","source_as_of","synced_at","close_price","change_val","change_pct","volume","quote_date"
"1101",台泥,TWSE_LISTED,"01",水泥工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",25.4,+0.30,+1.20%,52862166,"2026-04-10"
"1102",亞泥,TWSE_LISTED,"01",水泥工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",35.65,-0.25,-0.70%,10774056,"2026-04-10"
"1103",嘉泥,TWSE_LISTED,"01",水泥工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",13.85,+0.15,+1.09%,370724,"2026-04-10"
"1104",環泥,TWSE_LISTED,"01",水泥工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",29.5,+0.30,+1.03%,366993,"2026-04-10"
"1108",幸福,TWSE_LISTED,"01",水泥工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",14.85,+0.05,+0.34%,567774,"2026-04-10"
"1109",信大,TWSE_LISTED,"01",水泥工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",15.4,-0.05,-0.32%,61179,"2026-04-10"
"1110",東泥,TWSE_LISTED,"01",水泥工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",15.2,-0.20,-1.30%,126766,"2026-04-10"
"1201",味全,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",13.35,+0.00,+0.00%,289906,"2026-04-10"
"1203",味王,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",40.45,+0.55,+1.38%,17748,"2026-04-10"
"1210",大成,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",54.3,-0.10,-0.18%,1268840,"2026-04-10"
"1213",大飲,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",9.5,+0.05,+0.53%,4151,"2026-04-10"
"1215",卜蜂,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",143.5,+2.50,+1.77%,1115622,"2026-04-10"
"1216",統一,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",71.8,-0.20,-0.28%,13670845,"2026-04-10"
"1217",愛之味,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",10.25,+0.00,+0.00%,201475,"2026-04-10"
"1218",泰山,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",19.35,+0.00,+0.00%,615123,"2026-04-10"
"1219",福壽,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",14.2,+0.25,+1.79%,684101,"2026-04-10"
"1220",台榮,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",12.5,+0.00,+0.00%,69142,"2026-04-10"
"1225",福懋油,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",32.65,+0.20,+0.62%,214974,"2026-04-10"
"1227",佳格,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",30.05,-0.05,-0.17%,473786,"2026-04-10"
"1229",聯華,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",44.35,-0.30,-0.67%,1883682,"2026-04-10"
"1231",聯華食,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",91.1,-1.20,-1.30%,426383,"2026-04-10"
"1232",大統益,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",150.0,-0.50,-0.33%,104928,"2026-04-10"
"1233",天仁,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",29.45,+0.15,+0.51%,12262,"2026-04-10"
"1234",黑松,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",35.75,-0.10,-0.28%,107977,"2026-04-10"
"1235",興泰,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",44.1,+1.10,+2.56%,38091,"2026-04-10"
"1236",宏亞,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",25.55,+0.15,+0.59%,29325,"2026-04-10"
"1256",鮮活果汁-KY,TWSE_LISTED,"02",食品工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",152.5,+2.50,+1.67%,45156,"2026-04-10"
"1301",台塑,TWSE_LISTED,"03",塑膠工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",46.95,-0.45,-0.95%,15739912,"2026-04-10"
"1303",南亞,TWSE_LISTED,"03",塑膠工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",81.6,-3.60,-4.23%,91721968,"2026-04-10"
"1304",台聚,TWSE_LISTED,"03",塑膠工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",15.95,+0.10,+0.63%,19738365,"2026-04-10"
"1305",華夏,TWSE_LISTED,"03",塑膠工業,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,"1150412","2026-04-13T14:37:21+0800",16.7,+0.30,+1.83%,11267696,"2026-04-10"
