主題(fine),總投入金額
手機供應鏈,357258696063.275
消費電子,192228714033.40607
護國神山,174715300278.84
精密機殼,169419794400.31497
飆股當沖,134394063784.43648
面板多空,131891839992.68695
散熱水冷,120655101127.58418
航運多空,120115116581.77713
電子代工,112506948752.88496
大盤人氣,90476936974.04843
金融高股息,87460518350.85843
價值投資,85157844167.6676
公股金融,83425415276.25119
IC設計,73606661807.6051
塑化配息,60689850216.2077
技術操作,60391822020.24595
澄清媒體,58530703719.84055
科技存股,54183475800.18104
零組件配息,54128916581.872574
可轉債除息,52411542941.77762
面板報價,51775421350.3203
個股量能,51000158054.74221
庫藏股減資,50634083131.65807
先進製程,48883089441.03686
綜合其他,47967584099.50438
砷化鎵,47480884479.18108
壽險高股息,44904912857.97766
放空策略,43842226863.44142
資安事件,42918524002.728355
電路板,42343857809.40508
違約交割,41507838430.360085
航運短線,40078646526.88001
鋼鐵對帳,38396462768.57265
看多操作,35204133721.147
光學鏡頭,34945048215.32093
紅海航線,33258807421.05393
機器人,31391863460.270653
法說會行情,29905751096.572845
貨櫃運價,27190422765.19591
股東紀念品,25916383060.728752
網通晶片,25361565935.736145
航運籌碼,24552114166.85885
散裝運價,24507822306.32993
工業配息,22460674748.87848
可轉債套利,21950706552.586147
生技追蹤,19639730763.82132
塑化水泥,18538525703.75282
安控題材,17583174423.410976
飆股主力,17224869902.073772
AI伺服器,15648619277.5
石油概念,15475800993.558262
漲停爆量,14833247110.387615
融資斷頭,14280498937.061201
運動觀光,13824128355.599493
電動車,12953892554.801311
加密貨幣,12842908114.199465
金控配息,11745933446.542387
關稅概念,11117023316.116745
檢調弊案,10860490385.86599
高殖利率,10497835319.057205
營建高息,10216694322.345413
傳產除息,9687024819.02932
高鐵私募,9131938301.655756
電信紡織,7120089165.428858
Mini LED,6424362566.022633
公用存股,6261886142.903091
半導存股,5959789389.051408
鋼鐵景氣,4868802149.867249
新股競拍,4627373196.5
大盤行情,4516864980.025884
防疫口罩,4469271187.796065
ETF投資,3175675443.1168365
銅價概念,3058510661.028573
生技新藥,2028743067.0387945
金控改選,1866929128.2470403
鋼鐵股,726784406.8923035
勞退收益,155880916.42685318
大股東轉讓,143623450.9388733
預售屋,69319645.15712023
遊艇碼頭,66634828.94248009
