主題(medium),總投入金額
科技股,642196167294.0641
台股個股,459089201823.60394
電子零組件,342241137205.6805
半導操作,278839878497.30743
生技半導,194622317220.0751
航運股,177926038169.68985
高股息配發,161828854289.12598
光電技術,124894257687.68402
總經大盤,117069761283.72343
上市事件,112309718108.43489
台股投資,106546687997.60419
個股追蹤,82775628424.98914
存股配息,73469000446.84642
金融配息,72435783662.75006
光電半導,68891915826.1584
電子配息,54128916581.872574
除息基準日,52411542941.77762
航運運價,51698245071.52585
增資減資,50634083131.65807
晶片政策,48883089441.03686
基本面,47204144339.375626
違約交割,41507838430.360085
日內交易,40078646526.88001
法說會,29905751096.572845
特殊題材,26621736873.195625
股東紀念品,25916383060.728752
加密貨幣,12842908114.199465
大盤指數,4516864980.025884
生技新藥,2028743067.0387945
勞退基金,155880916.42685318
