主題(fine),91,光電業,其他,其他電子業,化學工業,半導體業,塑膠工業,居家生活,建材營造,數位雲端,文化創意業,橡膠工業,水泥工業,汽車工業,油電燃氣業,玻璃陶瓷,生技醫療業,紡織纖維,綠能環保,航運業,觀光餐旅,貿易百貨,資訊服務業,農業科技業,通信網路業,造紙工業,運動休閒,金融保險,鋼鐵工業,電器電纜,電子通路業,電子零組件業,電機機械,電腦及週邊設備業,食品工業,總計
月營收數據分析,3,93,44,72,28,244,10,12,41,26,11,5,1,34,9,5,87,20,35,32,30,4,22,0,101,3,24,7,7,10,36,174,68,112,8,1418
個股EPS殖利率分析,4,39,56,35,41,81,17,41,113,8,11,14,1,17,1,3,79,23,15,14,69,18,21,7,53,5,41,21,60,5,20,131,66,70,23,1223
電子科技短線個股討論,8,100,35,58,24,174,40,3,39,9,7,10,1,22,8,9,52,32,5,80,21,12,11,2,70,4,24,7,13,17,28,123,43,82,6,1179
電子傳產個股產業分析,5,64,27,80,18,158,9,3,12,15,4,14,2,28,5,2,29,36,24,5,6,0,35,2,56,2,9,3,120,15,19,168,66,96,8,1145
散戶短線進退場討論,8,91,51,41,31,140,15,12,25,16,40,9,0,18,2,9,79,27,20,21,14,12,23,4,46,12,19,11,55,7,13,92,43,69,8,1083
月營收公告資料,1,34,50,47,11,79,4,11,48,9,11,1,5,17,0,1,44,7,6,11,12,2,27,0,33,4,8,15,16,10,40,92,33,53,6,748
重大訊息暫停交易公告,1,25,17,11,8,39,11,6,23,10,13,1,9,8,3,2,49,14,16,11,26,7,10,0,17,1,8,18,15,1,7,27,33,8,5,460
重大訊息注意交易公告,0,18,12,21,6,69,1,1,2,6,12,0,0,1,0,0,13,0,6,8,8,2,14,0,23,0,2,1,2,0,14,41,15,26,2,326
金控月自結損益公告,0,2,15,7,0,16,0,0,1,2,4,0,0,1,0,0,6,1,0,0,2,0,6,0,6,2,3,183,7,0,3,8,3,16,4,298
個股標的分析格式文,1,17,6,13,11,51,5,2,7,5,2,0,1,5,4,1,16,4,1,4,3,3,4,0,7,3,3,2,7,5,2,38,13,22,5,273
違約交割董事持股異動,0,45,8,5,2,13,14,0,20,0,1,4,4,3,0,0,21,20,4,16,10,1,8,0,3,0,1,1,2,2,4,22,4,13,3,254
生技新藥臨床試驗討論,2,5,5,1,4,2,2,1,0,6,0,3,1,4,0,0,186,3,3,0,0,0,0,3,2,0,1,0,1,0,0,0,1,1,3,240
板規與進退場機制,4,20,13,15,2,31,5,2,5,3,2,4,0,9,0,2,20,3,3,0,10,2,0,0,7,2,2,2,5,5,2,23,6,21,1,231
季財報損益公告,0,13,9,14,6,33,3,0,6,0,0,0,0,7,0,1,2,1,1,9,1,0,3,0,7,2,1,10,6,0,2,27,13,23,3,203
現金增資新股發行,0,10,16,7,4,15,1,8,13,3,3,1,0,2,3,0,21,1,5,5,9,0,4,0,7,0,3,15,2,3,2,18,6,10,4,201
新股承銷申購資訊,0,6,11,10,4,15,0,5,10,4,4,0,0,5,0,0,17,3,8,6,7,0,2,0,3,0,5,1,4,1,0,13,3,7,2,156
個股股利殖利率,0,5,5,18,4,27,1,1,4,3,0,1,0,3,0,0,6,6,1,1,1,0,2,0,4,0,1,1,1,1,4,12,6,7,0,126
投信買賣超排行,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,40
航運SCFI指數報告,0,1,0,2,2,1,0,2,3,0,0,0,1,1,0,0,7,0,1,2,0,0,2,0,1,0,0,0,0,0,0,5,2,2,2,37
外資買賣超排行,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25
