主題(medium),91,光電業,其他,其他電子業,化學工業,半導體業,塑膠工業,居家生活,建材營造,數位雲端,文化創意業,橡膠工業,水泥工業,汽車工業,油電燃氣業,玻璃陶瓷,生技醫療業,紡織纖維,綠能環保,航運業,觀光餐旅,貿易百貨,資訊服務業,農業科技業,通信網路業,造紙工業,運動休閒,金融保險,鋼鐵工業,電器電纜,電子通路業,電子零組件業,電機機械,電腦及週邊設備業,食品工業,總計
個股短線討論與進退場,16,192,86,101,57,315,55,17,67,25,47,19,2,41,10,18,138,59,26,103,35,24,36,6,117,16,43,18,68,24,41,220,88,153,16,2299
月營收與財務數據,4,127,94,119,39,323,14,23,89,35,22,6,6,51,9,6,131,27,41,43,42,6,49,0,134,7,32,22,23,20,76,266,101,165,14,2166
多產業個股EPS分析,6,44,61,36,45,83,19,42,113,14,11,17,2,21,1,3,265,26,18,14,69,18,21,10,55,5,42,21,61,5,20,131,67,71,26,1463
電子傳產個股產業分析,5,64,27,80,18,158,9,3,12,15,4,14,2,28,5,2,29,36,24,5,6,0,35,2,56,2,9,3,120,15,19,168,66,96,8,1145
金融重大事項公告,1,37,48,25,12,70,12,14,37,15,20,2,9,11,6,2,76,16,21,16,37,7,20,0,30,3,14,216,24,4,12,53,42,34,13,959
重大訊息財務公告,0,31,21,35,12,102,4,1,8,6,12,0,0,8,0,1,15,1,7,17,9,2,17,0,30,2,3,11,8,0,16,68,28,49,5,529
板規與發文格式,5,37,19,28,13,82,10,4,12,8,4,4,1,14,4,3,36,7,4,4,13,5,4,0,14,5,5,4,12,10,4,61,19,43,6,504
違約交割與股權異動,0,45,8,5,2,13,14,0,20,0,1,4,4,3,0,0,21,20,4,16,10,1,8,0,3,0,1,1,2,2,4,22,4,13,3,254
新股承銷申購資訊,0,6,11,10,4,15,0,5,10,4,4,0,0,5,0,0,17,3,8,6,7,0,2,0,3,0,5,1,4,1,0,13,3,7,2,156
個股股利殖利率分析,0,5,5,18,4,27,1,1,4,3,0,1,0,3,0,0,6,6,1,1,1,0,2,0,4,0,1,1,1,1,4,12,6,7,0,126
投信買賣超排行,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,40
外資買賣超排行,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25
