stock_id,TopThemes,ThemeScoreDetail,TotalArticlesUsed
8011,,{},0
8016,,{},0
8021,,{},0
8028,,{},0
8033,,{},0
8039,,{},0
8045,,{},0
8046,,{},0
8070,,{},0
8072,,{},0
8081,,{},0
8101,,{},0
8103,,{},0
8104,,{},0
8105,,{},0
8110,,{},0
8112,,{},0
8114,,{},0
8131,,{},0
8150,,{},0
8162,,{},0
8163,,{},0
8201,,{},0
8210,,{},0
8213,,{},0
8215,,{},0
8222,,{},0
8249,,{},0
8261,,{},0
8271,,{},0
8341,,{},0
8367,,{},0
8374,,{},0
8404,,{},0
8411,,{},0
8422,,{},0
8429,,{},0
8438,,{},0
8442,,{},0
8443,,{},0
8454,,{},0
8462,,{},0
8463,,{},0
8464,,{},0
8466,,{},0
8467,,{},0
8473,,{},0
8476,,{},0
8478,,{},0
8481,,{},0
8482,,{},0
8487,,{},0
8488,,{},0
8499,,{},0
8926,,{},0
8940,,{},0
8996,,{},0
9103,,{},0
910322,,{},0
9105,,{},0
910861,,{},0
9110,,{},0
911608,,{},0
911622,,{},0
911868,,{},0
912000,,{},0
9136,,{},0
9802,,{},0
9902,,{},0
9904,,{},0
9905,,{},0
9906,,{},0
9907,,{},0
9908,,{},0
9910,,{},0
9911,,{},0
9912,,{},0
9914,,{},0
9917,,{},0
9918,,{},0
9919,,{},0
9921,,{},0
9924,,{},0
9925,,{},0
9926,,{},0
9927,,{},0
9928,,{},0
9929,,{},0
9930,,{},0
9931,,{},0
9933,,{},0
9934,,{},0
9935,,{},0
9937,,{},0
9938,,{},0
9939,,{},0
9940,,{},0
9941,,{},0
9942,,{},0
9943,,{},0
9944,,{},0
9945,,{},0
9946,,{},0
9955,,{},0
9958,,{},0
1240,,{},0
1259,,{},0
1264,,{},0
1268,,{},0
1294,,{},0
1295,,{},0
1336,,{},0
1565,,{},0
1569,,{},0
1570,,{},0
1580,,{},0
1584,,{},0
1586,,{},0
1591,,{},0
1593,,{},0
1595,,{},0
1599,,{},0
1742,,{},0
1777,,{},0
1781,,{},0
1784,,{},0
1785,,{},0
1788,,{},0
1796,,{},0
1799,,{},0
1813,,{},0
1815,,{},0
2035,,{},0
2061,,{},0
2063,,{},0
2064,,{},0
2065,,{},0
2066,,{},0
2067,,{},0
2070,,{},0
2073,,{},0
2221,,{},0
2230,,{},0
2235,,{},0
2596,,{},0
2640,,{},0
2641,,{},0
2643,,{},0
2718,,{},0
2719,,{},0
2724,,{},0
2726,,{},0
2729,,{},0
2732,,{},0
2734,,{},0
2736,,{},0
2740,,{},0
2743,,{},0
2745,,{},0
2751,,{},0
2752,,{},0
2754,,{},0
2755,,{},0
2756,,{},0
2916,,{},0
2924,,{},0
2926,,{},0
2937,,{},0
2941,,{},0
2947,,{},0
2948,,{},0
2949,,{},0
3064,,{},0
3066,,{},0
3067,,{},0
3071,,{},0
3073,,{},0
3078,,{},0
3081,,{},0
3083,,{},0
3085,,{},0
3086,,{},0
3088,,{},0
3093,,{},0
3095,,{},0
3105,,{},0
3114,,{},0
3115,,{},0
3118,,{},0
3122,,{},0
3128,,{},0
3131,,{},0
3141,,{},0
3147,,{},0
3152,,{},0
3158,,{},0
3162,,{},0
3163,,{},0
3169,,{},0
3171,,{},0
3176,,{},0
3178,,{},0
3188,,{},0
3191,,{},0
3205,,{},0
3206,,{},0
3207,,{},0
3211,,{},0
3213,,{},0
3217,,{},0
3218,,{},0
3219,,{},0
3221,,{},0
3224,,{},0
3226,,{},0
3227,,{},0
3228,,{},0
3230,,{},0
3232,,{},0
3234,,{},0
3236,,{},0
3252,,{},0
3259,,{},0
3260,,{},0
3264,,{},0
3265,,{},0
3268,,{},0
3272,,{},0
3276,,{},0
3284,,{},0
3285,,{},0
3287,,{},0
3288,,{},0
3289,,{},0
3290,,{},0
3293,,{},0
3294,,{},0
3297,,{},0
3303,,{},0
3306,,{},0
3310,,{},0
3313,,{},0
3317,,{},0
3322,,{},0
3323,,{},0
3324,,{},0
3325,,{},0
3332,,{},0
3339,,{},0
3349,,{},0
3354,,{},0
3357,,{},0
3360,,{},0
3362,,{},0
3363,,{},0
3372,,{},0
3373,,{},0
3374,,{},0
3379,,{},0
3388,,{},0
3390,,{},0
3402,,{},0
3426,,{},0
3430,,{},0
3434,,{},0
3438,,{},0
3441,,{},0
3444,,{},0
3455,,{},0
3465,,{},0
3466,,{},0
3467,,{},0
3479,,{},0
3483,,{},0
3484,,{},0
3489,,{},0
3490,,{},0
3491,,{},0
3492,,{},0
3498,,{},0
3499,,{},0
3508,,{},0
3511,,{},0
3512,,{},0
3516,,{},0
3520,,{},0
3521,,{},0
3522,,{},0
3523,,{},0
3526,,{},0
3527,,{},0
3529,,{},0
3531,,{},0
3537,,{},0
3540,,{},0
3541,,{},0
3546,,{},0
3548,,{},0
3551,,{},0
3552,,{},0
3555,,{},0
3556,,{},0
3558,,{},0
3564,,{},0
3567,,{},0
3570,,{},0
3577,,{},0
3580,,{},0
3581,,{},0
3587,,{},0
3594,,{},0
3597,,{},0
3609,,{},0
3611,,{},0
3615,,{},0
3623,,{},0
3624,,{},0
3625,,{},0
3628,,{},0
3629,,{},0
3630,,{},0
3631,,{},0
3632,,{},0
3646,,{},0
3663,,{},0
3664,,{},0
3666,,{},0
3672,,{},0
3675,,{},0
3680,,{},0
3684,,{},0
3685,,{},0
3687,,{},0
3689,,{},0
3691,,{},0
3693,,{},0
3707,,{},0
3709,,{},0
3710,,{},0
3713,,{},0
4102,,{},0
4105,,{},0
4107,,{},0
4109,,{},0
4111,,{},0
4113,,{},0
4114,,{},0
4116,,{},0
4120,,{},0
4121,,{},0
4123,,{},0
4126,,{},0
4127,,{},0
4128,,{},0
4129,,{},0
4130,,{},0
4131,,{},0
4138,,{},0
4139,,{},0
4147,,{},0
4153,,{},0
4154,,{},0
4157,,{},0
4160,,{},0
4161,,{},0
4162,,{},0
4163,,{},0
4166,,{},0
4167,,{},0
4168,,{},0
4171,,{},0
4173,,{},0
4174,,{},0
4175,,{},0
4183,,{},0
4188,,{},0
4192,,{},0
4198,,{},0
4205,,{},0
4207,,{},0
4303,,{},0
4304,,{},0
4305,,{},0
4401,,{},0
4402,,{},0
4406,,{},0
4413,,{},0
4416,,{},0
4417,,{},0
4419,,{},0
4420,,{},0
4430,,{},0
4432,,{},0
4433,,{},0
4442,,{},0
4502,,{},0
4503,,{},0
4506,,{},0
4510,,{},0
4513,,{},0
4523,,{},0
4527,,{},0
4528,,{},0
4529,,{},0
4530,,{},0
4533,,{},0
4534,,{},0
4535,,{},0
4538,,{},0
4541,,{},0
4542,,{},0
4543,,{},0
4549,,{},0
4550,,{},0
4554,,{},0
4556,,{},0
4558,,{},0
4561,,{},0
4563,,{},0
4568,,{},0
4577,,{},0
4580,,{},0
4584,,{},0
4609,,{},0
4702,,{},0
4706,,{},0
4707,,{},0
4711,,{},0
4714,,{},0
4716,,{},0
4721,,{},0
4726,,{},0
4728,,{},0
4729,,{},0
4735,,{},0
4741,,{},0
4743,生技新藥,"{""生技新藥"": 8}",4
4744,,{},0
4745,,{},0
4747,,{},0
4749,,{},0
4754,,{},0
4760,,{},0
4767,,{},0
4768,,{},0
4772,,{},0
4804,,{},0
4806,,{},0
4903,,{},0
4905,,{},0
4907,,{},0
4908,,{},0
4909,,{},0
4911,,{},0
4923,,{},0
