主題(fine),91,光電業,其他,其他電子業,化學工業,半導體業,塑膠工業,居家生活,建材營造,數位雲端,文化創意業,橡膠工業,水泥工業,汽車工業,油電燃氣業,玻璃陶瓷,生技醫療業,紡織纖維,綠能環保,航運業,觀光餐旅,貿易百貨,資訊服務業,農業科技業,通信網路業,造紙工業,運動休閒,金融保險,鋼鐵工業,電器電纜,電子通路業,電子零組件業,電機機械,電腦及週邊設備業,食品工業,總計
年度配息,0,3,5,3,1,10,0,4,10,3,1,1,3,1,1,0,4,2,2,4,1,2,0,0,3,1,2,20,3,1,4,8,2,7,6,118
建設配息,0,2,6,3,0,9,1,0,11,1,0,0,0,1,3,0,2,0,0,0,1,0,1,1,0,0,0,6,2,3,1,3,6,5,5,73
高殖利率,0,2,6,0,0,7,2,1,1,0,1,0,0,1,3,0,3,1,0,3,4,0,1,0,1,0,0,15,1,0,4,5,3,3,0,68
重訊偷跑,0,2,1,0,3,8,2,0,10,0,1,0,1,0,1,0,3,1,3,4,3,1,2,0,2,0,1,5,4,0,2,2,2,3,0,67
電子熱門,0,4,3,3,0,11,0,0,1,0,3,2,1,1,0,0,2,3,0,3,0,1,0,0,2,0,1,1,0,0,1,4,1,7,4,59
個股閒聊,3,9,1,2,0,10,0,2,2,0,2,0,0,0,0,0,4,2,1,0,1,0,0,0,2,0,1,6,2,0,0,2,0,5,1,58
電子個股,0,3,0,4,1,22,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,13,1,5,1,56
科技大盤,0,0,0,0,1,4,0,0,2,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,2,1,1,1,55
消費電子,0,10,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,5,0,0,3,0,10,0,54
媒體澄清,0,4,1,1,2,4,1,1,1,1,1,0,1,0,0,0,3,1,2,1,4,1,1,0,4,0,0,5,2,0,0,2,2,4,4,54
金融配息,0,1,2,2,1,4,0,1,9,1,0,0,0,1,0,0,1,1,1,1,2,1,0,0,0,0,2,13,2,3,0,1,1,1,1,53
生技波動,0,4,0,1,2,4,0,1,0,0,1,1,2,0,0,0,12,1,0,0,1,1,0,0,3,1,1,1,1,0,0,7,2,1,2,50
增資認購,0,3,2,3,1,1,1,0,4,1,0,0,0,2,0,0,6,0,2,3,1,0,0,0,1,0,1,10,3,0,0,2,0,1,0,48
民生配息,0,2,5,0,0,4,1,0,3,2,0,0,1,0,2,0,3,0,0,0,1,2,0,0,0,0,3,9,1,0,0,3,1,2,2,47
總體經濟,0,1,1,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,0,26,0,0,2,1,3,0,46
跌停操作,2,4,1,0,0,8,0,0,0,1,0,0,0,0,0,0,3,1,2,0,2,1,2,0,2,0,0,0,2,0,1,5,1,5,1,44
