主題(medium),91,光電業,其他,其他電子業,化學工業,半導體業,塑膠工業,居家生活,建材營造,數位雲端,文化創意業,橡膠工業,水泥工業,汽車工業,油電燃氣業,玻璃陶瓷,生技醫療業,紡織纖維,綠能環保,航運業,觀光餐旅,貿易百貨,資訊服務業,農業科技業,通信網路業,造紙工業,運動休閒,金融保險,鋼鐵工業,電器電纜,電子通路業,電子零組件業,電機機械,電腦及週邊設備業,食品工業,總計
短線博弈,3,13,4,3,2,28,0,1,3,2,2,2,0,4,0,0,9,2,5,14,3,2,7,1,8,1,2,4,10,1,2,36,4,19,1,198
科技選股,0,14,2,8,6,42,2,0,2,0,5,1,0,8,0,0,10,12,4,3,2,2,1,1,4,0,3,2,13,2,0,19,1,15,3,187
國際總經,1,2,7,1,4,1,1,0,1,5,1,3,0,0,1,2,6,9,3,6,7,1,0,0,5,5,0,0,84,0,0,7,3,8,1,175
高股息,0,6,11,1,0,13,9,3,5,1,3,1,4,3,5,0,4,2,0,5,6,0,2,0,1,0,1,33,2,0,6,13,4,11,5,160
多元配息,0,3,8,5,1,13,1,1,20,2,0,0,0,2,3,0,3,1,1,1,3,1,1,1,0,0,2,19,4,6,1,4,7,6,6,126
散戶心聲,0,5,3,3,3,15,3,1,0,2,1,4,3,1,0,0,22,2,1,9,4,1,0,0,6,1,2,3,3,0,1,11,6,4,2,122
公司資訊,0,6,2,1,5,12,3,1,11,1,2,0,2,0,1,0,6,2,5,5,7,2,3,0,6,0,1,10,6,0,2,4,4,7,4,121
年度股息,0,3,5,3,1,10,0,4,10,3,1,1,3,1,1,0,4,2,2,4,1,2,0,0,3,1,2,20,3,1,4,8,2,7,6,118
存股族群,0,6,7,1,1,6,4,0,10,2,1,1,1,0,2,1,4,0,1,0,1,5,0,0,5,0,8,23,2,2,1,5,1,6,5,112
科技產業,0,10,0,2,1,21,0,0,2,0,1,0,1,4,0,1,0,1,0,0,0,0,0,0,6,0,0,0,41,0,0,5,1,11,1,109
AI半導體,0,11,1,7,1,28,1,0,0,0,0,2,0,5,0,0,2,3,0,0,2,0,1,0,1,0,0,1,8,1,1,9,4,16,0,105
傳產股情,0,4,1,2,4,10,8,0,1,1,1,1,2,0,0,1,5,2,1,5,0,0,1,0,3,1,0,1,11,0,0,4,5,4,0,79
ETF理財,0,1,2,2,0,12,1,0,1,1,1,0,0,4,1,0,3,8,0,1,2,3,0,0,9,0,2,4,4,0,1,4,1,3,0,71
建設水泥,0,1,5,6,1,6,3,1,10,3,0,0,11,0,0,0,6,0,0,2,1,0,0,0,1,0,2,2,1,0,0,0,1,3,0,66
電子熱股,0,4,3,3,0,11,0,0,1,0,3,2,1,1,0,0,2,3,0,3,0,1,0,0,2,0,1,1,0,0,1,4,1,7,4,59
個股觀察,3,9,1,2,0,10,0,2,2,0,2,0,0,0,0,0,4,2,1,0,1,0,0,0,2,0,1,6,2,0,0,2,0,5,1,58
航運航空,0,0,1,1,0,2,1,0,0,2,0,0,1,0,0,0,2,0,0,28,0,1,2,0,0,1,0,0,1,0,0,9,0,3,0,55
航運指數,0,1,0,3,0,7,0,4,3,0,0,0,3,1,0,0,3,0,1,1,0,0,0,0,2,0,0,1,2,0,0,8,0,4,8,52
股本增減,0,3,2,3,1,1,1,0,4,1,0,0,0,2,0,0,6,0,2,3,1,0,0,0,1,0,1,10,3,0,0,2,0,1,0,48
生醫新藥,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,19,1,0,0,0,0,1,0,0,0,3,1,2,0,0,2,1,2,0,36
股東會禮,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,1,0,0,1,5,1,0,0,0,1,0,9,2,0,0,0,1,2,3,32
除息填權,0,1,1,0,1,4,0,0,1,0,1,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,7,0,0,2,1,0,3,1,29
盤後對帳,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,22
交割異常,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,13
法說明會,0,1,0,0,0,3,0,0,0,2,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13
